step,eps_star_mean,eps_star_se,d_nov,p_agree,e_agree
0,690.21,112.35,0.987,0.000,0.000
1000,128.02,20.28,0.919,0.453,0.415
2000,77.65,11.71,0.910,0.443,0.400
4000,54.40,8.31,0.934,0.580,0.541
8000,46.17,7.00,0.984,0.627,0.617
16000,39.61,6.00,0.991,0.639,0.633
32000,34.96,5.41,0.971,0.664,0.644
64000,27.46,4.27,0.904,0.611,0.549
128000,12.03,1.84,0.002,0.725,0.001
